1,npaub2e2f3,54,employee,11.39410103
2,alejwwfcsp,14,organization,44.42899734
3,h9c2n0z3ym,31,ability,0.603184451
4,g9xafnhmex,94,chemistry,25.20051431
5,cp6m9cwng2,24,painting,22.53277346
6,pv4hh19w80,53,recommendation,13.79269571
7,0875xqosr7,39,inflation,33.12475192
8,xrqe2qf1y7,82,two,34.60826661
9,k4q8c3v92i,90,fishing,3.520777398
10,18tjimn0n8,83,meaning,38.56603406
11,ruh332g9u3,18,theory,4.727661128
12,kvvfk4nxvw,20,cousin,14.09556778
13,89feu2xo8c,39,debt,46.04521388
14,5p0weuhq01,75,variety,49.81034427
15,pnlc8nqxz1,10,investment,2.275909622
16,4hywgs6olp,11,driver,34.69141313
17,405bn1n6k0,37,studio,21.58901102
18,rnckzp9dii,12,information,0.804478863
19,3y88xc5h49,42,decision,11.73519615
20,r10yekadxp,88,road,36.43001833
21,25scadh6ou,10,payment,18.28713026
22,1wsk1j15nc,57,country,6.256444001
23,msndd07inq,24,selection,8.108098989
24,py847jhcz8,50,childhood,49.04913585
25,pqmw5si5md,80,church,30.15698027
26,pawkw81rwk,74,quality,48.86029352
27,wsat68hkyv,4,competition,35.21263284
28,x3vhymq4tj,24,tradition,15.77949362
29,p7k75fiwti,88,dinner,47.87099781
30,hj2nuldjq3,39,video,3.391133073
31,mvjvjz5vyi,43,application,35.5778707
32,cjo4yyibzy,57,opinion,8.963626655
33,c6imfdnzwi,38,elevator,46.92608984
34,w0l5w5ux7c,88,football,28.77380766
35,p56jkc9p7w,52,actor,0.098030748
36,f91wtc83hb,85,steak,36.601242
37,sa5sd3yzyb,32,difficulty,13.57680885
38,u84vp941c9,31,drama,42.15369234
39,r0lmieuhbd,71,suggestion,28.69630451
40,2pbpa9qkg2,17,situation,8.043422614
41,p74bz026n2,80,expression,44.11297921
42,xmys8n8n57,39,blood,18.62429127
43,rjsq9e62qt,79,problem,49.14988623
44,vqiyepq7xi,1,manager,29.08627371
45,bo6nbscwou,69,extent,29.08631095
46,3lfbpgl5zj,76,opportunity,47.03069915
47,ilhubw6tj4,65,union,30.41905728
48,a8z8z46zxi,52,control,37.36201801
49,t9b2hr6oql,61,teacher,15.94787673
50,4ja88qs2hc,35,exam,30.03959402
51,t3l5tluzza,57,perspective,7.604590464
52,xoxpnucwv4,86,technology,5.624466527
53,8pfsqzulil,85,bath,34.62284278
54,h8zqvbybzz,72,outcome,16.58104243
55,t7bqsad7wg,33,presentation,49.00942631
56,tlu0fp4rgu,61,hotel,38.59077543
57,gl1p8l946p,40,language,23.31860679
58,kp9fu8nk4k,68,loss,2.270762034
59,ijpcsq3139,96,connection,14.37089946
60,8k6r5girrf,93,election,28.18046428
61,xxjp1ixjds,59,estate,7.345180963
62,inht4w5ztf,11,distribution,44.97977829
63,hw3ba91i0z,4,currency,6.733575463
64,oz6r8e7d59,19,moment,32.29035672
65,uxdflwnhno,21,cigarette,15.46559979
66,mn8ebnu1so,30,user,46.94593427
67,plhmo543vi,76,hearing,34.96292945
68,a9ycey8ycn,25,movie,48.56391518
69,bpntz8txzl,76,fact,10.80915558
70,l5hbxy2kdq,17,atmosphere,0.50103908
71,hmyhnruzyp,25,agreement,2.58782787
72,uh6mb385ko,42,media,7.194488398
73,96blg8txym,67,variation,4.958123033
74,twlrl6rh64,50,complaint,27.09618644
75,ibywpdlp1f,49,cabinet,13.76724596
76,hcj9p2fhvi,16,lake,13.11702301
77,1banzpz1jb,83,knowledge,30.72314968
78,npw5a9cl28,81,series,41.94570294
79,00q4nscjdh,37,software,27.6850157
80,ogl0857qwj,75,priority,9.684792883
81,x56fixvkq1,68,freedom,7.493006509
82,vamlarkw2b,1,philosophy,15.85231736
83,i61dshwzi5,65,bonus,14.93790056
84,rulwios3nm,43,engineering,42.20769712
85,0h42iqq14r,55,interaction,17.14892392
86,3hq4da2jn0,23,scene,20.86036502
87,gc7am5i3m5,49,energy,5.465130022
88,73m9epshg7,19,policy,39.24111257
89,ysl4ga3sfz,46,system,0.926005904
90,21cke6e8r7,60,direction,3.574573517
91,ti4nephnw0,82,foundation,22.28983524
92,3vmhi479xb,92,law,1.599027832
93,5vzoglivfr,51,failure,9.200974656
94,ekx1iszkhk,15,office,45.37332943
95,xbhhfeb4lj,37,republic,14.68041259
96,u08y1cptiq,49,paper,38.28341972
97,8ort1v17wl,84,tension,3.703272698
98,6f184etsgq,93,county,36.60686088
99,4dsz1qifww,48,property,34.26450513
100,nh4scmu9s6,48,society,29.19606592
101,4d7k0io73x,96,comparison,14.51925718
102,utrffss17w,57,meat,36.24094533
103,tgb8u79qcd,65,physics,12.25001116
104,eqjcuzwyhf,66,science,22.257159
105,4802vqialz,10,operation,23.47492656
106,gsm3u3d3kr,48,mood,34.10931915
107,wgexliamle,59,grandmother,28.45937554
108,qrnmnw8fy3,45,concept,36.06368236
109,mmdkzmoeha,13,news,24.77222837
110,e8kl62lbkd,75,description,38.855859
