1,4205,3469,30/06/2013,18017.07656
2,9706,6417,11/07/2013,17941.09651
3,4972,8043,22/12/2013,32320.70523
4,4992,2331,25/11/2013,74208.94044
5,5412,4224,21/03/2013,75365.65
6,592,9532,31/10/2013,62966.39016
7,5989,1279,02/09/2013,66648.10159
8,6428,6186,11/01/2013,28058.14772
9,496,1916,18/04/2013,38704.44504
10,1249,1459,29/05/2013,25637.15585
11,1681,2362,23/07/2013,49963.54185
12,4178,4031,05/06/2013,54644.62157
13,2968,4492,17/12/2013,10435.94373
14,2382,7997,27/10/2013,9113.697912
15,5764,9023,25/05/2013,63216.70485
16,7239,8813,29/09/2013,86079.74437
17,5075,6324,16/08/2013,17583.58261
18,5753,5198,27/06/2013,78760.74883
19,3087,5615,07/08/2013,43515.92315
20,5502,2311,14/11/2013,84663.39256
21,6566,9670,01/10/2013,26150.88053
22,179,632,31/08/2013,47860.31138
23,6168,489,23/09/2013,75490.04704
24,3296,8295,28/08/2013,22868.07169
25,9753,446,08/01/2013,91077.36902
26,2716,8582,19/12/2013,98254.70013
27,9822,8644,11/06/2013,58194.38218
28,5029,5426,14/08/2013,20058.76579
29,4825,6580,03/03/2013,38609.50822
30,9317,485,27/01/2013,97132.43591
31,1519,3169,23/07/2013,99801.58706
32,2644,1592,18/04/2013,32016.14013
33,7164,4928,11/12/2013,60966.36581
34,2148,1605,16/03/2013,34225.73177
35,8712,4623,13/03/2013,84404.40523
36,4466,5676,21/05/2013,46343.84171
37,549,5100,12/03/2013,62926.95858
38,3691,8451,22/07/2013,36582.6586
39,6628,3076,16/04/2013,93123.04484
40,141,2761,21/06/2013,91419.77016
41,4890,9040,15/01/2013,1366.780328
42,3585,8704,07/06/2013,72793.66901
43,9033,8321,11/04/2013,85959.80834
44,8770,7931,11/12/2013,60183.95394
45,113,2766,28/04/2013,84518.24943
46,6161,6841,18/01/2013,47797.95606
47,4916,9480,29/03/2013,24935.52119
48,5183,9968,29/06/2013,39262.64015
49,8038,8482,17/11/2013,26513.28525
50,1450,2556,21/03/2013,8288.943916
51,3302,7491,04/06/2013,73238.64759
52,1833,5757,18/12/2013,53855.45435
53,8220,9126,25/03/2013,25434.12122
54,674,9400,30/12/2013,33491.52898
55,7680,1541,14/07/2013,78657.5034
56,1699,8836,01/01/2013,32624.281
57,3874,5295,12/12/2013,19007.20366
58,4636,2818,11/10/2013,9163.60548
59,6657,9946,30/07/2013,83216.24713
60,2016,1449,22/09/2013,57767.49772
61,3943,4010,23/01/2013,1487.341408
62,6570,8139,19/03/2013,84337.17169
63,2174,8285,28/03/2013,22847.03186
64,2118,3255,18/04/2013,22539.31707
65,8606,2562,17/12/2013,13387.12335
66,1882,9442,15/11/2013,74463.04022
67,9462,5790,30/04/2013,7904.977113
68,3295,1699,21/02/2013,74872.04922
69,7729,1758,28/12/2013,59449.25291
70,3660,8444,05/08/2013,38348.07852
71,8465,4230,02/10/2013,68592.11198
72,4242,8478,24/04/2013,84903.76825
73,274,6333,02/09/2013,19942.30089
74,7050,2899,20/06/2013,42449.59518
75,7433,2115,03/12/2013,283.2831259
76,8996,1712,24/10/2013,96672.85239
77,4426,9573,06/04/2013,99585.42744
78,2990,1024,28/09/2013,48597.77632
79,4832,2048,21/07/2013,33460.39712
80,6448,8648,16/07/2013,15242.17401
81,3308,5097,15/07/2013,71245.80388
82,4946,8939,04/01/2013,79369.38993
83,3411,6643,17/06/2013,74287.64012
84,4796,529,09/05/2013,42881.1915
85,4143,5913,29/10/2013,47490.78089
86,3090,8808,05/06/2013,36519.65568
87,9137,6316,23/06/2013,51166.08044
88,1373,7766,21/05/2013,38669.64185
89,511,7204,07/12/2013,7446.655706
90,590,2318,26/08/2013,88983.44348
91,3565,1146,04/07/2013,57060.32312
92,5223,1092,12/09/2013,37765.67597
93,3052,6161,02/03/2013,70436.78272
94,1602,4793,14/11/2013,66391.888
95,6685,6498,30/10/2013,97940.53708
96,8538,2900,11/01/2013,94662.33535
97,7399,6144,13/04/2013,93424.3298
98,288,1082,28/10/2013,83843.51199
99,292,6361,27/06/2013,41307.86351
100,7902,3566,24/09/2013,77441.36966
101,8872,4036,20/08/2013,91796.74982
102,2944,995,22/11/2013,7976.323473
103,4951,1136,16/07/2013,67110.4775
104,55,6635,30/03/2013,38904.4665
105,9821,2790,09/12/2013,6705.302854
106,4636,9916,11/09/2013,63139.71906
107,5405,1153,25/08/2013,97144.77428
108,6296,4357,04/11/2013,13403.31593
109,4549,4567,03/02/2013,76037.41276
110,5472,9753,04/12/2013,45687.84444
111,1801,3983,12/09/2013,59124.05458
112,9555,7299,23/08/2013,21251.62099
113,6466,126,07/07/2013,7112.53411
114,9475,4422,28/04/2013,92249.6798
115,2302,6924,19/02/2013,5195.659032
116,9233,3323,14/08/2013,5358.991812
117,8283,7663,10/09/2013,62451.02212
118,7787,5470,06/08/2013,15924.18236
119,7441,9420,26/02/2013,57439.35117
120,9382,9883,26/09/2013,42294.94108
121,8064,159,24/10/2013,43676.91907
122,5888,5334,12/02/2013,19517.76129
123,1807,9420,01/09/2013,29703.71939
124,9153,8967,17/05/2013,29671.71506
