1,5460,10320.70975,6/3/2014,bank transfer
2,842,17039.24773,3/26/2014,debit card
3,9404,9737.195929,6/23/2014,personal cjeck
4,6530,37899.38187,6/21/2014,lbc
5,9875,35575.82202,7/21/2014,bitcoin
6,5726,40627.56662,5/14/2014,bank transfer
7,4168,27268.5364,12/7/2014,manager's check
8,5405,2603.003927,6/22/2014,personal cjeck
9,7425,7206.543004,4/24/2014,none
10,8685,22375.72027,1/12/2014,manager's check
11,6137,20725.6107,7/14/2014,none
12,1928,25080.32666,1/21/2014,lbc
13,6467,4283.777764,7/15/2014,paypal
14,9077,3893.275538,4/6/2014,debit card
15,7209,54832.68035,9/25/2014,manager's check
16,6599,12478.82717,8/31/2014,manager's check
17,1509,4477.913365,9/12/2014,manager's check
18,2269,38841.00469,7/12/2014,credit card
19,5222,15619.78228,5/3/2014,bitcoin
20,9628,5835.903695,1/5/2014,personal cjeck
21,703,16325.6344,3/11/2014,manager's check
22,3826,15288.55393,2/1/2014,credit card
23,4578,24987.02253,5/31/2014,none
24,2780,19575.54816,10/16/2014,debit card
25,6663,68911.78654,2/25/2014,none
26,2342,11935.71645,1/16/2014,debit card
27,6195,20764.63004,12/2/2014,lbc
28,1853,13055.10369,10/12/2014,cash
29,1445,35941.44278,9/24/2014,manager's check
30,3558,63232.00914,10/21/2014,bitcoin
31,7251,8798.496272,11/21/2014,none
32,6152,6511.36696,7/13/2014,manager's check
33,7145,27780.29305,4/19/2014,manager's check
34,237,17145.27624,5/30/2014,none
35,8245,62703.8718,12/20/2014,debit card
36,1690,32235.56125,6/1/2014,lbc
37,2180,13902.15312,4/16/2014,bank transfer
38,7394,3965.614541,6/12/2014,lbc
39,9750,24236.3986,4/28/2014,bank transfer
40,1673,24679.8968,8/29/2014,bank transfer
41,7488,84.50800173,6/23/2014,debit card
42,9353,47251.55268,9/8/2014,lbc
43,7547,10138.1255,5/10/2014,personal cjeck
44,1648,18870.41463,12/27/2014,lbc
45,7903,40309.67919,8/14/2014,bank transfer
46,7532,38536.60534,1/21/2014,lbc
47,2022,3827.871713,12/4/2014,lbc
48,5444,18232.73174,10/8/2014,credit card
49,2862,11540.3225,10/13/2014,cash
50,8414,7247.32708,7/22/2014,debit card
51,7756,65718.8654,6/9/2014,cash
52,401,8910.305918,1/5/2014,credit card
53,3144,10694.6065,2/22/2014,paypal
54,2280,27801.90662,10/12/2014,none
55,51,341.3719002,12/16/2014,lbc
56,86,22255.87723,4/18/2014,none
57,3557,6921.027023,11/17/2014,credit card
58,3342,2203.577919,4/30/2014,paypal
59,3155,8105.4395,7/8/2014,personal cjeck
60,5378,45233.81837,8/23/2014,bitcoin
61,5400,404.8355787,12/28/2014,bitcoin
62,3478,70499.1328,5/3/2014,cash
63,7434,12049.6155,5/31/2014,personal cjeck
64,7300,21913.99938,5/11/2014,manager's check
65,984,8600.190915,7/3/2014,paypal
66,214,22724.75695,2/13/2014,paypal
67,9423,4004.260614,4/24/2014,credit card
68,5152,39758.94402,1/21/2014,none
69,326,51109.81753,5/4/2014,paypal
